"author1"	"author2"	"pubs"	"pubIDs"
"BAR K"	"Eisenlohr L"	"0"	""
"BAR K"	"EPPERSON CN"	"0"	""
"BAR K"	"Evans DL"	"0"	""
"BAR K"	"friedman hm"	"0"	""
"BAR K"	"GHOSE T"	"0"	""
"BAR K"	"GROSS R"	"0"	""
"BAR K"	"grover s"	"0"	""
"BAR K"	"HAHN BH"	"4"	"28576126,27412591,25734126,24023257"
"BAR K"	"Hahn SM"	"0"	""
"BAR K"	"HOXIE J"	"1"	"27959728"
"BAR K"	"HUNTER CA"	"0"	""
"BAR K"	"jarvis jn"	"0"	""
"BAR K"	"JEMMOTT J"	"0"	""
"BAR K"	"JEMMOTT L"	"0"	""
"BAR K"	"JOHNSON PR"	"0"	""
"BAR K"	"JORDAN-SCIUTTO K"	"0"	""
"BAR K"	"JUNE CH"	"0"	""
"BAR K"	"koenig h"	"0"	""
"BAR K"	"Kohler HP"	"0"	""
"BAR K"	"KOHLI RM"	"0"	""
"BAR K"	"KOLSON D"	"0"	""
"BAR K"	"kovaric cl"	"0"	""
"BAR K"	"LANGLEBEN DD"	"0"	""
"BAR K"	"LIEBERMAN PM"	"0"	""
"BAR K"	"LIU C"	"0"	""
"BAR K"	"Lo Re V"	"0"	""
"BAR K"	"LOWENTHAL ED"	"0"	""
"BAR K"	"Mcguire JL"	"0"	""
"BAR K"	"METZGER DS"	"0"	""
"BAR K"	"MONTANER L"	"0"	""
"BAR K"	"Moore JH"	"0"	""
"BAR K"	"morroni c"	"0"	""
"BAR K"	"O'doherty U"	"0"	""
"BAR K"	"OBRIEN CP"	"0"	""
"BAR K"	"ratcliffe s"	"0"	""
"BAR K"	"RILEY JL"	"0"	""
"BAR K"	"ROBERTSON ES"	"0"	""
"BAR K"	"ROSS R"	"0"	""
"BAR K"	"rutstein r"	"0"	""
"BAR K"	"sawinski d"	"0"	""
"BAR K"	"SCHNOLL RA"	"0"	""
"BAR K"	"schulman ln"	"0"	""
"BAR K"	"SCOTT PA"	"0"	""
"BAR K"	"SHAW GM"	"4"	"28576126,27412591,25734126,24023257"
"BAR K"	"shaw pa"	"0"	""
"BAR K"	"stallings v"	"0"	""
"BAR K"	"steenhoff ap"	"0"	""
"BAR K"	"stevens r"	"0"	""
"BAR K"	"su lf"	"0"	""
"BAR K"	"TEBAS P"	"1"	"27959728"
"BAR K"	"Teitelman A"	"0"	""
"BAR K"	"Tomescu C"	"0"	""
"BAR K"	"van duyne g"	"0"	""
"BAR K"	"VILLARRUEL A"	"0"	""
"BAR K"	"WEINER DB"	"0"	""
"BAR K"	"Weissman D"	"0"	""
"BAR K"	"WHERRY EJ"	"0"	""
"BAR K"	"Wood s"	"0"	""
"BAR K"	"WOODY GE"	"0"	""
"BAR K"	"YEHIA B"	"0"	""
"BAR K"	"YOU J"	"0"	""
"BAR K"	"Yuan Y"	"0"	""
"BAR K"	"ZETOLA N"	"0"	""
"bau hh"	"Bauermeister J"	"0"	""
"bau hh"	"BETTS M"	"0"	""
"bau hh"	"BHANDOOLA A"	"0"	""
"bau hh"	"BISSON GP"	"0"	""
"bau hh"	"BLANK MB"	"0"	""
"bau hh"	"blumberg ea"	"0"	""
"bau hh"	"brady ka"	"0"	""
"bau hh"	"brawner b"	"0"	""
